name,weight_class,height_in,reach_in,stance,wins,losses,ko_wins,sub_wins,dec_wins,ko_losses,sub_losses,dec_losses,strike_accuracy_pct,td_accuracy_pct,td_defense_pct,last_fight_date,first_round_finish_pct,age,last_fight_result,last_fight_method,missed_weight_count,slpm,sapm,control_time_pct,last_fight_opponent,country,short_notice,combat_edge_checked,wikipedia_checked,td_per_15,slpm_r,sapm_r,td_per_15_r,draws,knockdowns_per_fight,td_accuracy_pct_r,espn_fights,sig_strikes_att_per_fight,td_att_per_fight,strike_accuracy_pct_r,knockdowns_absorbed_per_fight,sig_strikes_absorbed_per_fight,td_att_faced_per_fight,sig_strikes_landed_per_min,td_landed_per_15,sig_strikes_absorbed_per_min,fight_minutes_total,absorbed_leg_share,absorbed_body_share,strikes_ground_share,absorbed_head_share,strikes_head_share,strikes_body_share,strikes_distance_share,absorbed_ground_share,strikes_clinch_share,strikes_leg_share,absorbed_distance_share,absorbed_clinch_share
Chase Hooper,Lightweight,73.0,74.0,Orthodox,17,5,4.0,9.0,4.0,3.0,0.0,2.0,49.5,32.8,55.0,2026-07-18,0.38,26.0,W,SUB,0.0,4.5,3.02,,Mitch Ramirez,USA,0.0,False,False,2.822,4.085,2.163,4.219,,0.062,39.7,16.0,74.06,4.19,45.7,0.438,24.5,1.25,4.351,2.45,2.911,134.7,13.0,15.1,31.4,71.9,70.8,19.3,56.3,18.1,12.3,9.9,70.4,11.5
Mitch Ramirez,Lightweight,71.0,71.0,Orthodox,8,4,5.0,2.0,1.0,3.0,1.0,0.0,44.6,,33.3,2026-07-18,0.75,32.0,L,SUB,0.0,3.51,3.98,,Chase Hooper,USA,0.0,False,False,0.0,,,,,0.0,,4.0,51.0,0.75,45.2,0.75,26.25,1.5,3.266,0.538,3.768,27.9,19.0,24.8,0.0,56.2,44.0,17.6,90.1,8.6,9.9,38.5,89.5,1.9
Tommy McMillen,Featherweight,72.0,74.0,Orthodox,11,0,5.0,5.0,1.0,0.0,0.0,0.0,50.8,,83.3,2026-07-18,0.9,28.0,W,KO/TKO,0.0,9.87,5.54,,Alberto Montes,USA,0.0,False,False,0.0,,,,,1.0,,3.0,288.33,0.33,50.6,0.0,53.67,4.0,13.535,0.0,4.964,32.4,6.2,16.1,2.3,77.6,73.8,21.2,89.5,1.2,8.2,5.0,90.1,8.7
Alberto Montes,Featherweight,67.0,69.0,Orthodox,12,2,1.0,7.0,4.0,2.0,0.0,0.0,48.1,,77.8,2026-07-18,0.25,31.0,L,KO/TKO,0.0,5.26,4.44,,Tommy McMillen,Venezuela,0.0,False,False,0.0,,,,,0.0,,3.0,87.33,0.0,45.1,0.667,103.67,3.0,4.704,0.0,11.612,26.8,6.4,21.2,0.0,72.3,75.4,19.0,95.2,2.3,4.8,5.6,91.0,6.8
Tabatha Ricci,Women's Strawweight,61.0,61.0,,12,5,2.0,3.0,7.0,1.0,0.0,4.0,36.5,34.7,54.3,2026-07-18,0.17,31.0,L,DEC,0.0,4.0,4.83,,Fatima Kline,Brazil,0.0,False,False,2.37,4.216,5.271,2.206,,0.0,28.1,12.0,136.33,6.0,35.5,0.083,63.17,2.92,3.773,2.37,4.791,158.2,11.2,24.3,12.7,64.5,66.2,13.6,80.4,2.8,6.9,20.3,86.8,10.4
Fatima Kline,Women's Strawweight,66.0,67.0,,10,1,4.0,1.0,5.0,0.0,0.0,1.0,48.0,66.7,65.0,2026-07-18,0.11,25.0,W,DEC,0.0,5.01,2.71,,Tabatha Ricci,USA,0.0,False,False,3.132,5.585,2.877,2.198,,0.2,67.5,5.0,136.2,4.2,47.2,0.0,33.0,4.0,4.877,3.132,2.461,67.0,12.7,26.7,15.0,60.6,70.9,22.9,72.5,5.5,12.5,6.1,83.6,10.9
Austin Bashi,Featherweight,66.0,70.0,Orthodox,14,2,3.0,6.0,5.0,0.0,0.0,2.0,42.5,35.4,63.6,2026-07-18,0.29,24.0,L,DEC,0.0,1.75,2.34,,Jose Delgado,USA,0.0,False,False,3.12,,,,,0.0,31.3,4.0,46.5,12.0,40.3,0.25,24.5,2.75,1.885,6.086,2.339,41.9,6.1,28.6,3.8,65.3,64.6,25.3,77.2,5.1,19.0,10.1,76.5,18.4
Jose Delgado,Featherweight,71.0,73.0,,12,2,6.0,4.0,2.0,0.0,0.0,2.0,53.1,38.5,63.3,2026-07-18,0.7,27.0,W,DEC,1.0,7.48,4.95,,Austin Bashi,USA,0.0,False,False,0.62,,,,,0.833,33.4,6.0,104.5,2.17,53.1,0.167,38.17,5.0,6.075,1.368,4.178,54.8,18.8,14.8,11.4,66.4,59.5,29.4,77.5,3.5,11.1,11.1,91.3,5.2
Jean-Paul Lebosnoyani,Welterweight,71.0,72.0,,11,2,3.0,5.0,3.0,2.0,0.0,0.0,46.6,42.9,,2026-07-18,0.7,27.0,W,DEC,0.0,4.77,3.72,,Seokhyeon Ko,USA,0.0,False,False,3.0,,,,,0.333,45.2,3.0,92.33,4.67,45.0,0.0,42.0,1.33,4.143,2.891,4.047,31.1,11.9,8.7,10.1,79.4,61.2,18.6,76.7,2.4,13.2,20.2,92.9,4.8
Seokhyeon Ko,Welterweight,70.0,71.0,Southpaw,13,3,6.0,0.0,7.0,2.0,0.0,1.0,50.4,52.2,50.0,2026-07-18,,32.0,L,DEC,0.0,2.3,2.13,,Jean-Paul Lebosnoyani,South Korea,0.0,False,False,3.333,,,,,0.0,49.6,4.0,93.75,5.75,48.3,0.0,29.0,2.0,3.15,3.0,1.933,60.0,17.2,30.2,28.0,52.6,80.4,9.5,67.7,0.0,4.2,10.1,82.8,17.2
Felipe Franco,Light Heavyweight,73.0,,,11,2,7.0,4.0,0.0,0.0,1.0,1.0,57.4,40.9,87.5,2026-07-18,1.0,25.0,W,KO/TKO,0.0,1.81,2.55,,Levi Rodrigues Jr.,Brazil,0.0,False,False,2.077,,,,,0.0,41.5,3.0,54.0,7.33,57.2,0.0,29.0,5.33,2.55,3.702,2.386,36.5,12.6,12.6,30.1,74.7,74.2,20.4,41.9,24.1,28.0,5.4,44.8,31.0
Levi Rodrigues Jr.,Light Heavyweight,72.0,76.5,Orthodox,5,1,5.0,0.0,0.0,1.0,0.0,0.0,,,57.1,2026-07-18,1.0,29.0,L,KO/TKO,0.0,4.5,2.1,,Felipe Franco,Brazil,0.0,False,False,,,,,,0.5,,2.0,25.5,0.0,,0.0,23.0,3.5,,,,10.0,,,,,,,,,,,,
Alden Coria,Flyweight,68.0,67.0,Southpaw,13,3,5.0,4.0,4.0,0.0,1.0,2.0,41.6,54.5,56.2,2026-07-18,0.25,27.0,W,DEC,0.0,4.69,2.4,,Stewart Nicoll,USA,0.0,False,False,2.207,,,,,0.0,53.6,3.0,132.33,3.67,41.0,0.0,30.0,5.33,4.046,2.207,2.207,40.8,20.0,14.4,10.3,65.6,73.3,14.5,85.5,0.0,4.2,12.1,94.4,5.6
Stewart Nicoll,Flyweight,65.0,65.5,Orthodox,8,4,4.0,3.0,1.0,1.0,1.0,2.0,37.2,22.9,33.3,2026-07-18,,31.0,L,DEC,0.0,3.63,5.84,,Alden Coria,Australia,0.0,False,False,2.818,,,,,0.0,24.5,4.0,86.0,8.75,37.1,0.25,51.25,3.0,3.006,2.818,4.814,42.6,5.4,23.9,4.7,70.7,71.1,15.6,95.3,2.9,0.0,13.3,90.7,6.3
Alvin Hines,Heavyweight,74.0,74.0,Orthodox,7,2,3.0,3.0,1.0,1.0,0.0,1.0,32.7,10.0,,2026-07-18,0.29,34.0,L,KO/TKO,0.0,5.47,7.47,,RJ Harris,USA,0.0,False,False,0.9,,,,,0.0,10.0,2.0,142.0,5.0,33.3,0.5,63.5,0.0,,,,16.7,14.2,2.4,0.0,83.5,60.2,24.7,97.8,6.3,2.2,15.1,92.9,0.8
RJ Harris,Heavyweight,78.0,80.0,Orthodox,6,0,2.0,3.0,1.0,0.0,0.0,0.0,,,,2026-07-18,,27.0,W,KO/TKO,0.0,,,,Alvin Hines,USA,0.0,False,False,,,,,,1.0,,1.0,26.0,0.0,,0.0,11.0,0.0,,,,1.7,,,,,,,,,,,,
Dione Barbosa,Women's Flyweight,66.0,66.0,Orthodox,10,4,0.0,5.0,5.0,1.0,0.0,3.0,45.9,44.4,63.6,2026-07-18,,34.0,W,SUB,0.0,2.27,2.45,,Anna Melisano,Brazil,0.0,False,False,2.416,2.45,2.514,2.317,,0.0,48.7,7.0,48.86,3.86,45.3,0.0,23.86,3.14,2.155,2.47,2.292,72.9,26.9,24.0,10.2,49.1,61.8,28.7,79.0,9.0,10.8,9.6,85.0,6.0
Anna Melisano,Women's Flyweight,66.0,70.0,,6,2,2.0,1.0,3.0,0.0,2.0,0.0,,,,2026-07-18,,29.0,L,SUB,0.0,,,,Dione Barbosa,,0.0,False,False,,,,,,0.0,,1.0,6.0,0.0,,0.0,5.0,2.0,,,,4.1,,,,,,,,,,,,
Ezra Elliott,Featherweight,70.0,70.0,,8,0,2.0,5.0,1.0,0.0,0.0,0.0,,66.7,,2026-07-18,1.0,26.0,W,DEC,,,,,Damien Anderson,USA,0.0,False,False,12.0,,,,,0.0,66.7,1.0,11.0,18.0,,0.0,7.0,2.0,,,,15.0,,,,,,,,,,,,
Damien Anderson,Featherweight,,,,5,1,1.0,4.0,0.0,0.0,0.0,1.0,,,33.3,2026-07-18,,29.0,L,DEC,,,,,Ezra Elliott,USA,0.0,False,False,0.0,,,,,0.0,,1.0,20.0,2.0,,0.0,6.0,18.0,,,,15.0,,,,,,,,,,,,
Cody Gibson,Bantamweight,70.0,71.0,Orthodox,22,13,7.0,6.0,9.0,1.0,6.0,6.0,46.9,37.5,68.0,,,38.0,,,,,,,,USA,,False,True,2.12,3.866,2.939,2.612,,0.125,37.9,16.0,53.69,2.5,55.3,0.188,24.0,1.56,2.412,1.347,2.298,167.1,14.1,16.9,4.2,69.0,66.7,21.8,70.5,8.6,25.3,11.4,70.1,21.4
Abdul Hussein,Bantamweight,65.0,,Orthodox,16,2,5.0,10.0,1.0,0.0,1.0,1.0,,,,,,28.0,,,,,,,,Finland,,True,True,,,,,,1.0,,1.0,99.0,2.0,,0.0,44.0,3.0,,,,13.1,,,24.6,,89.2,10.8,58.5,,16.9,0.0,,
Mike Davis,Lightweight,72.0,72.5,Orthodox,12,4,8.0,2.0,2.0,0.0,1.0,3.0,53.9,44.4,52.8,,,33.0,,,,,,,,USA,,True,True,2.829,3.283,3.834,2.22,,0.4,37.1,10.0,91.7,3.6,56.8,0.1,53.5,3.6,3.931,1.91,4.257,125.7,22.4,14.2,17.2,63.4,62.8,28.1,75.7,7.9,7.1,9.1,84.9,7.3
Nurullo Aliev,Lightweight,70.0,72.0,Orthodox,12,0,2.0,0.0,10.0,0.0,0.0,0.0,44.2,51.7,80.0,2026-07-25,,25.0,W,DEC,,,,,Mike Davis,Tajikistan,,False,True,2.0,,,,,0.0,54.4,5.0,67.0,5.8,42.3,0.0,20.6,2.0,2.291,3.483,1.594,64.6,25.2,32.0,43.2,42.7,82.4,13.5,50.7,12.6,6.1,4.1,81.6,5.8
Brendson Ribeiro,Light Heavyweight,75.0,81.0,Orthodox,17,11,9.0,7.0,1.0,5.0,3.0,3.0,40.4,37.5,32.1,2026-04-04,,29.0,L,Submission,,,,,Abdul Rakhman Yakhyaev,Brazil,,True,True,0.916,2.595,3.98,0.793,,0.222,29.9,9.0,55.0,0.89,38.5,0.222,26.89,3.11,2.945,0.663,3.563,67.9,24.0,24.4,3.5,51.7,57.0,16.5,95.0,21.1,1.5,26.5,76.9,2.1
Magomed Tuchalov,Light Heavyweight,77.0,,,7,0,5.0,1.0,1.0,0.0,0.0,0.0,,57.1,,2026-03-28,,26.0,W,KO (Punch),,,,,Caio Machado,Russia,,True,True,,,,,,0.0,57.1,1.0,80.0,14.0,,0.0,39.0,1.0,,,,15.0,,,,,,,,,,,,
Santiago Ponzinibbio,Welterweight,72.0,73.0,Orthodox,31,10,17.0,6.0,8.0,6.0,0.0,4.0,40.8,26.5,71.1,,,39.0,,,,,,,,Argentina,,False,True,0.596,4.757,5.01,0.809,,0.458,18.6,24.0,112.12,1.42,37.3,0.375,46.83,1.58,4.541,0.559,4.653,241.6,19.8,20.6,3.1,59.5,70.6,12.5,95.1,5.2,1.8,16.9,92.8,2.0
Sam Patterson,Welterweight,75.0,78.0,Orthodox,15,3,7.0,7.0,1.0,2.0,0.0,1.0,41.3,,,,,30.0,,,,,,,,England,,True,True,1.098,,,,,0.375,,8.0,48.38,0.5,41.9,0.0,15.75,0.5,3.578,0.671,2.818,44.7,20.6,17.5,5.0,61.9,81.2,9.4,91.2,10.3,3.8,9.4,85.7,4.0
Dustin Jacoby,Light Heavyweight,75.0,76.0,Orthodox,22,10,15.0,1.0,6.0,3.0,2.0,5.0,50.2,25.0,66.7,,,38.0,,,,,,,,USA,,False,True,0.272,5.726,3.71,0.173,,0.4,19.8,20.0,100.05,0.8,48.4,0.4,35.45,2.7,5.612,0.335,3.963,178.9,18.1,14.4,3.7,67.6,67.4,13.7,84.8,4.8,11.6,18.8,86.6,8.6
Muhammad Said,Light Heavyweight,74.0,,,10,0,7.0,2.0,1.0,0.0,0.0,0.0,45.1,,,2026-05-09,,30.0,W,KO (Punches),,,,,Henrique da Silva,Russia,,True,True,,,,,,2.0,,1.0,133.0,0.0,45.1,0.0,34.0,0.0,,,,9.8,,,6.7,,68.3,15.0,86.7,,6.7,16.7,,
Thomas Petersen,Heavyweight,73.0,74.0,Southpaw,11,5,7.0,1.0,3.0,3.0,1.0,1.0,59.4,42.1,87.5,2026-04-04,,31.0,W,Decision (Majority),,,,,Guilherme Pat,USA,,True,True,2.648,3.03,2.704,3.589,,0.125,35.4,8.0,52.0,4.75,58.5,0.375,26.12,1.0,3.038,2.952,2.571,81.3,9.1,26.3,23.1,64.6,67.2,25.1,69.6,4.3,7.3,7.7,85.2,10.5
Valter Walker,Heavyweight,78.0,78.5,Orthodox,16,1,6.0,6.0,4.0,0.0,0.0,1.0,,69.2,,2025-10-25,,28.0,W,Submission (Heel Hook),,,,,Louie Sutherland,Brazil,,False,True,5.741,,,,,0.0,68.2,6.0,15.17,2.17,,0.0,11.17,0.17,1.916,5.389,2.675,25.1,25.4,25.4,,49.3,,,,0.0,,,94.0,6.0
Ismael Bonfim,Lightweight,68.0,71.5,Orthodox,20,7,9.0,4.0,7.0,2.0,5.0,0.0,54.3,33.3,76.9,2025-11-08,,30.0,L,TKO (Punches),,,,,Chris Padilla,Brazil,,True,True,1.082,5.552,4.77,1.18,,0.286,34.1,7.0,82.29,2.14,53.2,0.143,34.71,1.86,5.105,1.223,3.963,61.3,22.6,20.6,1.9,56.8,66.8,21.4,90.4,9.9,7.7,11.8,76.1,14.0
Axel Sola,Lightweight,72.0,74.0,Southpaw,12,1,6.0,2.0,4.0,0.0,0.0,1.0,50.4,36.4,,2026-03-21,,28.0,L,Decision (Unanimous),,,,,Mason Jones,France,,True,True,2.219,,,,,0.667,37.3,3.0,94.67,3.67,51.7,0.0,48.0,1.0,4.502,1.889,4.533,31.8,4.2,24.3,7.0,71.5,83.9,16.1,69.2,0.7,23.8,0.0,74.3,25.0
Abubakar Vagaev,Welterweight,72.0,,,25,4,4.0,1.0,20.0,3.0,0.0,1.0,,40.0,71.4,2025-02-08,,33.0,W,Decision (Unanimous),,,,,Albert Tumenov,Russia,,True,True,,,,,,0.0,40.0,1.0,70.0,10.0,,0.0,33.0,7.0,,,,15.0,,,,,,,,,,,,
Saygid Izagakhmaev,Welterweight,73.0,74.0,,22,4,3.0,13.0,6.0,0.0,1.0,3.0,45.3,35.3,66.7,2025-11-22,,31.0,L,Decision (Split),,,,,Nicolas Dalby,Russia,,True,True,4.0,,,,,0.0,34.4,2.0,58.5,8.5,44.2,0.0,26.5,6.0,1.767,3.0,1.767,30.0,,,,,,,,,,,,
Rizvan Kuniev,Heavyweight,76.0,76.0,Orthodox,14,3,7.0,2.0,5.0,0.0,0.0,3.0,54.9,,93.5,2026-02-07,,34.0,W,Decision (Unanimous),,,,,Jailton Almeida,Russia,,False,True,0.0,,,,,0.333,,6.0,75.0,0.67,50.7,0.0,21.17,5.17,3.422,0.623,1.759,72.2,24.4,18.1,13.0,57.5,70.0,23.5,55.9,0.0,31.2,6.5,70.9,29.1
Tyrell Fortune,Heavyweight,74.0,77.0,,18,4,10.0,2.0,5.0,2.0,1.0,1.0,49.0,42.9,,2026-03-28,,36.0,W,Decision (Unanimous),,,,,Marcin Tybura,USA,,False,True,3.0,,,,,0.0,41.0,2.0,51.0,3.5,48.9,0.5,56.5,0.5,1.908,1.718,4.313,26.2,4.4,35.4,,60.2,,,,0.9,,,62.8,36.3
Magomed Zaynukov,Lightweight,70.0,68.0,Orthodox,9,0,5.0,0.0,4.0,0.0,0.0,0.0,59.7,50.0,85.7,,,31.0,,,,,,,,Russia,,False,True,,,,,,0.0,45.8,2.0,259.0,4.0,59.3,0.5,44.0,3.5,10.3,2.0,2.933,30.0,25.0,22.7,0.0,52.3,54.0,23.0,89.6,0.0,10.4,23.0,97.7,2.3
Damian Rzepecki,Lightweight,70.0,73.5,,10,1,4.0,5.0,1.0,0.0,0.0,1.0,,14.3,66.7,,,24.0,,,,,,,,Poland,,False,True,,,,,,0.0,14.3,1.0,62.0,7.0,,0.0,74.0,6.0,,,,15.0,27.0,10.8,,62.2,,,,0.0,,,71.6,28.4
Wellington Turman,Welterweight,72.0,72.0,Orthodox,18,8,4.0,8.0,6.0,2.0,1.0,5.0,51.2,20.8,42.9,2023-12-02,,29.0,L,Submission (Rear Naked Choke),,,,,Jared Gooden,Brazil,,False,True,1.552,,,,,0.0,18.4,9.0,67.67,5.33,54.4,0.111,44.78,2.33,3.228,1.552,4.17,96.7,11.4,21.6,7.7,67.0,58.7,20.5,76.0,21.3,16.3,20.8,64.8,13.9
Islam Dulatov,Welterweight,75.0,75.0,Orthodox,12,1,8.0,4.0,0.0,0.0,0.0,1.0,54.5,,,2025-07-19,,27.0,W,KO (Punches),,,,,Adam Fugitt,Germany,,False,True,,,,,,1.0,,2.0,55.0,0.5,54.1,0.0,14.5,1.5,,,,6.8,,,10.0,,81.7,16.7,76.7,,13.3,1.7,,
Ramazan Temirov,Flyweight,64.0,63.0,Orthodox,20,3,12.0,1.0,7.0,0.0,1.0,2.0,41.2,,,2025-03-01,,29.0,W,Decision (Unanimous),,,,,Charles Johnson,Uzbekistan,,True,True,0.841,,,,,1.667,,3.0,85.0,0.67,41.7,0.0,27.0,1.33,,,,22.2,21.0,32.1,4.8,46.9,81.0,17.1,86.7,0.0,8.6,1.9,74.1,25.9
Steve Erceg,Flyweight,68.0,68.0,Orthodox,14,5,2.0,6.0,6.0,2.0,0.0,3.0,46.8,27.3,67.4,2026-05-02,,30.0,W,Decision (Unanimous),,,,,Tim Elliott,Australia,,False,True,1.13,3.784,3.64,1.132,,0.111,26.4,9.0,134.0,3.67,46.8,0.444,57.0,5.11,4.562,1.09,4.142,123.9,20.9,18.9,1.6,60.2,74.2,18.2,88.7,5.5,9.7,7.6,86.0,8.6
Bogdan Guskov,Light Heavyweight,75.0,76.0,Orthodox,18,4,15.0,3.0,0.0,2.0,1.0,1.0,56.8,,54.5,2025-12-06,,33.0,D,Decision (Majority),,,,,Jan Blachowicz,Uzbekistan,,False,True,0.0,,,,,0.571,,7.0,59.86,0.0,58.2,0.286,33.14,1.57,3.595,0.0,3.505,66.2,21.1,20.7,29.8,58.2,74.4,5.0,65.5,14.2,4.6,20.6,80.6,5.2
Kyle Prepolec,Lightweight,70.0,70.0,Southpaw,18,11,10.0,4.0,4.0,2.0,3.0,6.0,33.6,0.0,41.7,2026-08-01,,36.0,L,KO/TKO,,,,,Mateusz Rębecki,Canada,0.0,False,True,0.0,,,,,0.0,0.0,6.0,79.83,1.17,31.4,0.0,58.83,2.0,2.349,0.0,5.151,68.5,21.0,21.0,0.6,58.1,60.9,24.8,96.3,24.6,3.1,14.3,67.4,7.9
Mateusz Rębecki,Lightweight,67.0,66.0,Southpaw,21,5,10.0,7.0,4.0,2.0,1.0,2.0,49.4,50.0,53.3,2026-08-01,,33.0,W,KO/TKO,,,,,Kyle Prepolec,Poland,0.0,True,True,2.842,5.471,5.28,3.002,,0.5,41.5,10.0,115.5,4.4,50.8,0.0,45.3,1.5,5.275,3.054,4.193,108.0,5.3,19.4,24.6,75.3,72.1,14.6,70.7,10.4,4.7,13.3,85.4,4.2
Jovan Leka,Heavyweight,76.0,75.0,Orthodox,14,2,8.0,4.0,2.0,0.0,0.0,2.0,,,55.6,2026-08-01,,24.0,W,KO/TKO,,,,,Alexander Poppeck,Serbia,0.0,True,True,,,,,,0.5,,2.0,24.0,0.5,,0.0,8.5,4.5,,,,17.4,,,,,,,,,,,,
Max Gimenis,Heavyweight,74.0,75.0,Orthodox,6,2,3.0,2.0,1.0,2.0,0.0,0.0,,,,,,33.0,,,,,,,,Brazil,,True,True,,,,,,0.0,,1.0,7.0,0.0,,2.0,9.0,0.0,,,,0.9,,,,,,,,,,,,
Hailey Cowan,Women's Bantamweight,68.0,67.0,Southpaw,7,6,2.0,2.0,3.0,2.0,3.0,1.0,41.2,37.5,80.0,2026-08-01,,34.0,L,KO/TKO,,,,,Nina Milošević,USA,0.0,True,True,2.399,,,,,0.0,37.7,5.0,66.0,3.2,39.7,0.4,31.2,1.0,2.723,1.802,3.123,50.0,14.1,35.3,10.3,50.6,57.4,36.0,64.7,2.6,25.0,6.6,69.9,27.6
Nina Milošević,Women's Bantamweight,65.0,65.0,,9,1,4.0,2.0,3.0,0.0,0.0,1.0,,,,2026-08-01,,29.0,W,KO/TKO,,,,,Hailey Cowan,Australia,0.0,True,True,,,,,,1.0,,1.0,39.0,0.0,,0.0,13.0,2.0,,,,3.7,,,,,,,,,,,,
Dennis Buzukja,Featherweight,69.0,70.5,Switch,12,7,5.0,1.0,6.0,2.0,1.0,4.0,44.3,27.3,72.5,2026-08-01,,28.0,L,SUB,,,,,Bogdan Grad,USA,0.0,True,True,0.0,,,,,0.25,21.4,8.0,99.0,1.38,45.4,0.375,48.88,5.0,4.277,0.548,4.764,82.1,12.8,24.0,4.8,63.2,57.0,25.4,84.9,7.2,10.3,17.7,76.0,16.9
Bogdan Grad,Featherweight,68.0,70.0,Orthodox,16,4,9.0,4.0,3.0,2.0,0.0,2.0,53.2,38.6,,2026-08-01,,30.0,W,SUB,,,,,Dennis Buzukja,Austria,0.0,True,True,5.022,2.643,2.15,5.269,,0.0,38.2,6.0,72.67,7.33,54.5,0.5,46.67,0.67,4.158,4.57,5.018,55.8,7.5,17.1,22.4,75.4,63.8,22.0,65.5,6.1,12.1,14.2,88.2,5.7
Josias Musasa,Bantamweight,68.0,74.0,Southpaw,8,2,7.0,0.0,1.0,0.0,1.0,1.0,45.5,,81.2,,,27.0,,,,,,,,Democratic Republic of Congo,,True,True,0.821,,,,,0.0,,3.0,77.67,1.33,45.9,0.333,48.67,10.67,3.186,0.902,4.389,33.3,12.3,28.1,2.8,59.6,53.8,23.6,63.2,29.5,34.0,22.6,47.9,22.6
Mark Vologdin,Bantamweight,63.0,65.0,Orthodox,12,5,6.0,4.0,2.0,0.0,1.0,4.0,46.0,26.7,50.0,2026-08-01,,26.0,L,DEC,,,,,Borislav Nikolic,Russia,0.0,True,True,1.0,,,,,0.333,27.8,3.0,181.33,5.0,45.2,0.0,119.0,2.67,5.556,1.333,7.933,45.0,19.0,19.3,0.0,61.6,64.4,23.6,86.8,8.7,13.2,12.0,71.7,19.6
Oban Elliott,Welterweight,72.0,72.0,Orthodox,12,6,3.0,3.0,6.0,2.0,1.0,1.0,48.3,38.1,52.4,2026-08-01,,28.0,L,KO/TKO,,,,,Michael Oliveira,Wales,0.0,True,True,0.935,3.421,2.149,0.651,,0.143,28.1,7.0,86.57,3.0,48.1,0.429,27.29,3.0,3.617,1.481,2.358,81.0,19.4,12.6,21.2,68.1,68.9,15.4,73.4,16.8,5.5,15.7,70.2,13.1
Michael Oliveira,Welterweight,73.0,78.5,Orthodox,11,0,10.0,0.0,1.0,0.0,0.0,0.0,52.0,,,2026-08-01,,28.0,W,KO/TKO,,,,,Oban Elliott,Brazil,0.0,True,True,,,,,,2.5,,2.0,85.5,0.0,52.3,0.0,18.0,1.0,,,,10.8,,,19.1,,78.7,14.6,79.8,,1.1,6.7,,
Ludovit Klein,Lightweight,67.0,72.5,Southpaw,24,7,9.0,8.0,7.0,3.0,2.0,2.0,53.5,50.0,76.6,2026-08-01,,31.0,L,KO/TKO,,,,,Tofiq Musayev,Slovakia,0.0,True,True,1.37,3.902,3.597,1.03,,0.385,50.3,13.0,89.38,2.15,52.7,0.077,44.62,3.62,3.831,1.294,3.573,162.4,18.1,26.7,9.0,55.2,58.5,30.2,80.9,10.2,10.1,11.3,72.4,17.4
Tofiq Musayev,Lightweight,69.0,69.0,Orthodox,25,6,20.0,2.0,3.0,1.0,4.0,1.0,43.6,50.0,57.1,2026-08-01,,36.0,W,KO/TKO,,,,,Ludovit Klein,Azerbaijan,0.0,True,True,2.298,,,,,0.333,48.6,3.0,62.67,2.0,43.5,0.333,26.67,2.33,2.857,1.568,2.787,28.7,13.8,33.8,28.0,52.5,64.6,20.7,68.3,8.8,3.7,14.6,83.8,7.5
Gilbert Urbina,Middleweight,75.0,75.0,Orthodox,8,5,3.0,2.0,3.0,3.0,1.0,1.0,57.9,44.4,,2026-08-01,,30.0,W,KO/TKO,,,,,Vlasto Čepo,USA,0.0,True,True,2.857,,,,,0.333,47.6,9.0,28.22,1.0,58.7,0.333,11.56,0.11,2.566,1.047,1.816,57.3,16.3,27.9,36.7,55.8,66.7,20.4,48.3,5.8,15.0,12.9,77.9,16.3
Vlasto Čepo,Middleweight,73.0,,,14,4,10.0,4.0,0.0,2.0,1.0,1.0,,,,2026-08-01,,31.0,L,KO/TKO,,,,,Gilbert Urbina,Serbia,0.0,True,True,,,,,,0.0,,1.0,24.0,0.0,,1.0,30.0,0.0,,,,1.0,,,,,,,,,,,,
Duško Todorović,Middleweight,73.0,74.0,Orthodox,13,7,8.0,4.0,1.0,4.0,1.0,2.0,57.8,24.0,40.0,2026-08-01,,32.0,L,SUB,,,,,Robert Valentin,Serbia,0.0,True,True,2.156,3.232,3.716,3.403,,0.0,41.5,12.0,57.83,4.17,58.4,0.333,31.08,1.25,4.516,2.027,4.2,88.8,8.8,26.0,18.0,65.1,66.6,26.9,47.9,10.2,34.2,6.5,66.2,23.6
Robert Valentin,Middleweight,74.0,77.0,Orthodox,13,6,3.0,9.0,1.0,3.0,1.0,2.0,,,52.2,2026-08-01,,31.0,W,SUB,,,,,Duško Todorović,Switzerland,0.0,True,True,0.592,,,,,0.0,,5.0,12.4,0.6,,0.2,14.0,4.6,1.149,1.014,2.366,29.6,2.9,11.4,,85.7,,,,65.7,,,32.9,1.4
Marcin Tybura,Heavyweight,75.0,78.0,Orthodox,27,12,10.0,7.0,10.0,6.0,1.0,5.0,46.8,32.4,70.7,2026-08-01,,40.0,L,DEC,,,,,Aleksandar Rakic,Poland,0.0,True,True,1.305,3.699,3.514,1.166,,0.04,21.6,25.0,83.32,2.84,39.7,0.24,37.28,1.64,3.489,1.235,3.335,279.4,12.0,19.4,20.7,68.6,64.5,22.2,69.4,7.6,9.8,13.3,76.3,16.1
Aleksandar Rakic,Heavyweight,76.0,78.0,Orthodox,15,6,9.0,1.0,5.0,3.0,1.0,2.0,50.5,21.7,87.0,2026-08-01,,34.0,W,DEC,,,,,Marcin Tybura,Serbia,0.0,True,True,0.638,3.957,3.741,0.232,,0.235,8.4,17.0,64.71,1.35,50.7,0.118,21.71,1.35,3.628,0.489,2.408,153.2,26.6,22.5,20.7,50.9,50.7,18.5,70.0,7.9,9.4,30.8,77.0,15.2
