play_id,event_name,event_date,fighter_a,fighter_b,card_position,weight_class,axis,market,selection,label,tier,is_lock,is_prop,odds_american,venue,units,to_win,model_prob,fair_prob,blended_prob,ev_per_unit,required_prob,published_at,last_seen,closing_odds,result,units_result,graded_at,void_reason
UFC 331: Van vs. Pantoja 2|Ryan Gandra|Ozzy Diaz|Total Rounds Over 1.5|Ryan Gandra vs Ozzy Diaz,UFC 331: Van vs. Pantoja 2,2026-09-19,Ryan Gandra,Ozzy Diaz,Early Prelims,Middleweight,manner,Total Rounds Over 1.5,Ryan Gandra vs Ozzy Diaz,Over 1.5 rounds,,0,1,190,DraftKings,2.0,3.8,0.5713,0.326,0.3996,0.1588,0.3793,2026-09-15 11:44 AM ET,2026-09-19 05:55 PM ET,168,lost,-2.0,2026-09-19 07:21 PM ET,
UFC 331: Van vs. Pantoja 2|Casey O'Neill|Eduarda Moura|Moneyline|Casey O'Neill,UFC 331: Van vs. Pantoja 2,2026-09-19,Casey O'Neill,Eduarda Moura,Early Prelims,Women's Flyweight,outcome,Moneyline,Casey O'Neill,Casey O'Neill Moneyline,Low Confidence,0,0,-110,BetMGM,1.0,0.91,0.559,0.583,0.5754,0.0985,0.55,2026-09-19 06:08 PM ET,2026-09-19 07:54 PM ET,-110,won,0.91,2026-09-19 06:24 PM ET,
UFC 331: Van vs. Pantoja 2|Tai Tuivasa|Robelis Despaigne|Total Rounds Over 1.5|Tai Tuivasa vs Robelis Despaigne,UFC 331: Van vs. Pantoja 2,2026-09-19,Tai Tuivasa,Robelis Despaigne,Prelims,Heavyweight,manner,Total Rounds Over 1.5,Tai Tuivasa vs Robelis Despaigne,Over 1.5 rounds,,0,1,160,DraftKings,3.0,4.8,0.3941,0.644,0.569,0.4794,0.4231,2026-09-19 07:21 PM ET,2026-09-19 08:26 PM ET,-213,won,4.8,2026-09-19 08:39 PM ET,
UFC Fight Night: Rosas Jr. vs. Barcelos|Rodolfo Vieira|Robert Bryczek|Moneyline|Rodolfo Vieira,UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Rodolfo Vieira,Robert Bryczek,Co-Main Event,Middleweight,outcome,Moneyline,Rodolfo Vieira,Rodolfo Vieira Moneyline,Medium Confidence,0,0,-110,BetMGM,1.5,1.36,0.659,0.506,0.5516,0.0531,0.55,2026-09-20 09:55 AM ET,2026-09-23 06:29 AM ET,-155,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos|Melissa Amaya|Valesca Machado|Moneyline|Melissa Amaya,UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Melissa Amaya,Valesca Machado,Main Card,Women's Strawweight,outcome,Moneyline,Melissa Amaya,Melissa Amaya Moneyline,Medium Confidence,0,0,170,DraftKings,2.0,3.4,0.61,0.36,0.435,0.1745,0.3889,2026-09-20 08:18 PM ET,2026-09-23 06:29 AM ET,190,void,0.0,2026-09-21 05:13 PM ET,fight cancelled
UFC Fight Night: Rosas Jr. vs. Barcelos|Josiah Harrell|Elves Brener|Moneyline|Elves Brener,UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Josiah Harrell,Elves Brener,Prelims,Lightweight,outcome,Moneyline,Elves Brener,Elves Brener Moneyline,Low Confidence,0,0,105,DraftKings,1.0,1.05,0.5089,0.541,0.5314,0.0894,0.5122,2026-09-20 09:29 PM ET,2026-09-23 06:29 AM ET,114,,,,
