name,espn_id
bobby voelker,2504956
bogdan grad,5144006
bogdan guskov,5152109
bojan mihajlovic,3023796
bojan velickovic,3077809
bolaji oki,5145682
borislav nikolic,5131951
boston salmon,3122040
brad blackburn,2335759
brad gumm,2501947
brad imes,2335606
brad katona,4350871
brad kohler,2501838
brad morris,2354017
brad pickett,2504174
brad riddell,4575873
brad tavares,2504643
bradley scott,3009723
brady hiestand,4815974
branden lee hinkle,2500527
brando pericic,5293988
brandon davis,3960440
brandon jenkins,4284270
brandon melendez,2354360
brandon moreno,3027545
brandon royval,4239928
brandon thatch,2951482
brandon vera,2335652
brandon wolff,2335733
braxton smith,4008506
brendan allen,4025699
brendan loughnane,3009725
brendan o'reilly,3089918
brendan schaub,2500160
brendon marotte,4425603
brendson ribeiro,4379328
brett johns,3075589
brian bowles,2447636
brian camozzi,3123194
brian cobb,2501391
brian ebersole,2500138
brian foster,2501511
brian gassaway,2354335
brian geraghty,2502591
brian houston,3052685
brian johnston,2499775
brian kelleher,2517186
brian melancon,2560711
brian ortega,3045737
brian stann,2335748
brianna fortino,3041602
bristol marunde,2559785
brock jardine,2570368
brock larson,2354106
brock lesnar,2335298
brodie farber,2335712
brogan walker,4024488
brok weaver,4044409
bruna brasil,4394200
brunno ferreira,5077131
bruno assis,4081147
bruno korea,3896935
bruno lopes,4691323
bruno santos,2617286
bruno silva,3895544
bruno souza,4687105
bryan barberena,3111927
bryan battle,4815998
bryan caraway,2504179
bryce mitchell,3953381
bubba bush,2966920
bubba mcdaniel,2557955
buddy roberts,2615270
byron bloodworth,2594612
cain carrizosa,3134018
cain velasquez,2335654
caio borralho,4835137
caio machado,5007668
caio magalhaes,2613965
cal worsham,2951124
cale yarbrough,2512949
callan potter,3099070
calvin kattar,3164030
cam rowston,4694832
cameron dollar,2556274
cameron else,3991050
cameron saaiman,5077399
cameron smotherman,5144320
cameron vancamp,4416295
caol uno,2354243
caolan loughran,5077789
carl deaton,3136321
carla esparza,2559934
carli judice,5172179
carlo pedersoli jr.,4329550
carlo prater,2486932
carlos barreto,2501782
carlos candelario,4013049
carlos condit,2335243
carlos eduardo rocha,2526108
carlos felipe,4257695
carlos hernandez,3249894
carlos huachin,4422343
carlos leal,3146349
carlos mota,4713585
carlos newton,2479914
carlos prates,4294832
carlos ulberg,4695736
carlos vera,4684059
carls john de tomas,4204437
carlston harris,3901011
carlton minus,4377048
carmelo marrero,2335256
carol foro,5278269
caros fodor,2558612
casey kenney,4030197
casey o'neill,4699589
cat zingano,2987934
cathal pendred,3025283
cb dollaway,2335744
ce liu,5292011
cesar almeida,5144068
cesar arzamendia,3952890
cesar marscucci,2951312
cezar ferreira,2965138
cezary oleksiejczuk,5216978
chad anheliger,4816062
chad griggs,2505262
chad laprise,3096574
chad mendes,2504172
chad reiner,2354211
chael sonnen,2335796
chan sung jung,2501685
chance rencountre,3931158
changho lee,5137013
chanmi jeon,4229232
charalampos grigoriou,4878592
charles byrd,3020777
charles johnson,4375156
charles jourdain,4421978
charles mccarthy,2335781
charles oliveira,2504169
charles radtke,4416297
charles rosa,3153125
charlie brenneman,2503056
charlie campbell,4786358
charlie ontiveros,3099958
charlie valencia,2465555
charlie ward,4046338
chas skelly,2514827
chase gormley,2501130
chase hooper,4354421
chase sherman,3952937
chase waldon,3087807
che mills,2553271
cheick kongo,2335655
chelsea chandler,4319785
chepe mariscal,4040926
cheyanne vlismas,4683396
chico camus,2523679
chidi njokuani,2959422
chris avila,4022255
chris barnett,2960757
chris beal,3001208
chris brennan,2500426
chris camozzi,2502414
chris cariaso,2504552
chris clements,2500664
chris condo,2558124
chris cope,2504262
chris curtis,2984770
chris daukaus,4341598
chris de la rocha,3904457
chris dempsey,3115938
chris duncan,4867356
chris ewert,5282842
chris fishgold,3956305
chris gruetzemacher,2951241
chris gutierrez,3961293
chris haseman,2473990
chris heatherly,3077810
chris holdsworth,3070986
chris indich,3099049
chris kelades,3153248
chris leben,2335513
chris liguori,2354259
chris lytle,2335670
chris padilla,3163772
chris price,2354224
chris sanford,2488455
chris saunders,2566301
chris spang,2614777
chris tickle,2960678
chris tuchscherer,2431276
chris wade,3027534
chris weidman,2553993
chris wilson,2335732
christian aguilera,3953379
christian colombo,3103207
christian edwards,4799517
christian leroy duncan,4848674
christian morecraft,2504170
christian rodriguez,4875511
christian wellisch,2335750
christina marks,2996856
christophe leninger,2557851
christos giagos,3089069
chuck liddell,2335464
chuck o'neil,2506266
cindy dandois,2554402
ciryl gane,4426000
cj fernandes,2502455
cj keith,2953549
cj vergara,4396359
claude patrick,2504613
claudia gadelha,3011878
claudio puelles,4070701
claudio ribeiro,5074126
claudio silva,3085303
